0.000000000000000000e+00,3.668507741783515667e+04
2.083333333333333218e-02,3.782532037389233301e+04
4.166666666666666435e-02,3.835337343721318030e+04
6.250000000000000000e-02,3.859978443456474633e+04
8.333333333333332871e-02,3.871499025381550018e+04
1.041666666666666574e-01,3.876872367370022403e+04
1.250000000000000000e-01,3.879357933570014575e+04
1.458333333333333148e-01,3.880485181507968809e+04
1.666666666666666574e-01,3.880973089271097706e+04
1.875000000000000000e-01,3.881159927482244530e+04
2.083333333333333148e-01,3.881204912894708832e+04
2.291666666666666574e-01,3.881183000242485286e+04
2.500000000000000000e-01,3.881129479853455268e+04
2.708333333333333148e-01,3.881060968474609399e+04
2.916666666666666297e-01,3.880985290964975866e+04
3.125000000000000000e-01,3.880906132654501562e+04
3.333333333333333148e-01,3.880825229799301451e+04
3.541666666666666297e-01,3.880743400929559721e+04
3.750000000000000000e-01,3.880661032452136715e+04
3.958333333333333148e-01,3.880578307294602564e+04
4.166666666666666297e-01,3.880495312561890751e+04
4.375000000000000000e-01,3.880412090226523287e+04
4.583333333333333148e-01,3.880328660996258986e+04
4.791666666666666297e-01,3.880245035552414629e+04
5.000000000000000000e-01,3.880161219841619459e+04
5.208333333333332593e-01,3.880077217567628395e+04
5.416666666666666297e-01,3.879993031364802300e+04
5.625000000000000000e-01,3.879908663350792631e+04
5.833333333333332593e-01,3.879824115386961057e+04
6.041666666666666297e-01,3.879739389201180165e+04
6.250000000000000000e-01,3.879654486445796647e+04
6.458333333333332593e-01,3.879569408725114045e+04
6.666666666666666297e-01,3.879484157608474925e+04
6.875000000000000000e-01,3.879398734636591689e+04
7.083333333333332593e-01,3.879313141324675235e+04
7.291666666666666297e-01,3.879227379164073500e+04
7.500000000000000000e-01,3.879141449623190420e+04
7.708333333333332593e-01,3.879055354148062906e+04
7.916666666666666297e-01,3.878969094162785041e+04
8.125000000000000000e-01,3.878882671069856588e+04
8.333333333333332593e-01,3.878796086250480585e+04
8.541666666666666297e-01,3.878709341064855107e+04
8.750000000000000000e-01,3.878622436852441751e+04
8.958333333333332593e-01,3.878535374932230479e+04
9.166666666666666297e-01,3.878448156602997915e+04
9.375000000000000000e-01,3.878360783143570734e+04
9.583333333333332593e-01,3.878273255813059950e+04
9.791666666666666297e-01,3.878185575851123576e+04
1.000000000000000000e+00,3.878097744478199456e+04
1.020833333333333259e+00,3.878009762895745371e+04
1.041666666666666519e+00,3.877921632286476961e+04
1.062500000000000000e+00,3.877833353814596194e+04
1.083333333333333259e+00,3.877744928626022011e+04
1.104166666666666519e+00,3.877656357848615880e+04
1.125000000000000000e+00,3.877567642678617995e+04
1.145833333333333259e+00,3.877478785938752844e+04
1.166666666666666519e+00,3.877389790920805535e+04
1.187500000000000000e+00,3.877300659592240845e+04
1.208333333333333259e+00,3.877211393238604069e+04
1.229166666666666519e+00,3.877121992819051229e+04
1.250000000000000000e+00,3.877032459133876546e+04
1.270833333333333259e+00,3.876942792903507507e+04
1.291666666666666519e+00,3.876852994805816707e+04
1.312500000000000000e+00,3.876763065493795148e+04
1.333333333333333259e+00,3.876673005603968340e+04
1.354166666666666519e+00,3.876582815760502126e+04
1.375000000000000000e+00,3.876492496577184647e+04
1.395833333333333259e+00,3.876402048658506101e+04
1.416666666666666519e+00,3.876311472600239358e+04
1.437500000000000000e+00,3.876220768989828503e+04
1.458333333333333259e+00,3.876129938406653673e+04
1.479166666666666519e+00,3.876038981422264624e+04
1.500000000000000000e+00,3.875947898600569897e+04
1.520833333333333259e+00,3.875856690498031821e+04
1.541666666666666519e+00,3.875765357663835312e+04
1.562500000000000000e+00,3.875673900640069041e+04
1.583333333333333259e+00,3.875582319961888425e+04
1.604166666666666519e+00,3.875490616157683689e+04
1.625000000000000000e+00,3.875398789749243588e+04
1.645833333333333259e+00,3.875306841251911828e+04
1.666666666666666519e+00,3.875214771174750058e+04
1.687500000000000000e+00,3.875122580020687747e+04
1.708333333333333259e+00,3.875030268286682258e+04
1.729166666666666519e+00,3.874937836463858548e+04
1.750000000000000000e+00,3.874845285037670692e+04
1.770833333333333259e+00,3.874752614488031395e+04
1.791666666666666519e+00,3.874659825289466971e+04
1.812500000000000000e+00,3.874566917911259225e+04
1.833333333333333259e+00,3.874473892817574233e+04
1.854166666666666519e+00,3.874380750467604958e+04
1.875000000000000000e+00,3.874287491315713851e+04
1.895833333333333259e+00,3.874194115811547817e+04
1.916666666666666519e+00,3.874100624400180823e+04
1.937500000000000000e+00,3.874007017522238311e+04
1.958333333333333259e+00,3.873913295614025992e+04
